Entity,Code,Year,ag_land_index,labor_index,food_supply_per_capita
China,CHN,1995,93.0381,162.0984,7.030131
China,CHN,1996,93.496,158.8572,7.9955697
China,CHN,1997,93.6702,158.9476,6.2658076
China,CHN,1998,93.9455,160.4846,6.8190985
China,CHN,1999,94.2441,163.1808,6.5702333
China,CHN,2000,94.4856,164.4353,6.5333223
China,CHN,2001,95.0328,166.0562,6.719041
China,CHN,2002,95.3674,167.1588,6.8663106
China,CHN,2003,95.0751,165.1689,7.015043
China,CHN,2004,96.0116,158.9013,6.9420323
China,CHN,2005,96.4668,152.5692,7.091494
China,CHN,2006,96.9474,145.7213,6.665641
China,CHN,2007,97.0481,140.2004,6.6337895
China,CHN,2008,98.1826,136.5152,7.187261
China,CHN,2009,98.6519,131.8026,7.0633674
China,CHN,2010,98.7979,127.4274,7.0562954
China,CHN,2011,98.9348,121.3278,7.1102233
China,CHN,2012,99.0055,117.5824,7.15116
China,CHN,2013,99.2986,110.274,7.1915455
China,CHN,2014,99.8858,103.9737,7.2337317
China,CHN,2015,100,100,7.1870894
China,CHN,2016,100.1597,98.0702,6.2537756
China,CHN,2017,100.4996,95.5518,6.2170143
China,CHN,2018,101.1019,92.4221,6.2765074
China,CHN,2019,101.4799,88.7131,6.251975
France,FRA,1961,107.9807,569.4048,0.4918793
France,FRA,1962,107.6086,548.6658,0.5239786
France,FRA,1963,107.268,528.6013,0.6070383
France,FRA,1964,105.4225,509.102,0.5983227
France,FRA,1965,104.1834,490.0265,0.58849126
France,FRA,1966,102.743,471.8252,0.5877429
France,FRA,1967,100.9744,454.3292,0.92979455
France,FRA,1968,98.6076,433.3059,1.3804233
France,FRA,1969,98.4792,409.4607,1.3167725
France,FRA,1970,97.5241,388.2785,1.1842135
France,FRA,1971,95.9131,368.6346,1.1732664
France,FRA,1972,95.6753,348.4967,1.1131877
France,FRA,1973,96.0884,330.9837,1.1041807
France,FRA,1974,96.9423,316.4342,1.1458449
France,FRA,1975,97.2555,304.2414,1.197736
France,FRA,1976,96.2373,293.7844,1.8739355
France,FRA,1977,96.6762,284.0329,1.9138774
France,FRA,1978,97.3591,275.8197,1.1975348
France,FRA,1979,97.1978,265.3486,1.2164367
France,FRA,1980,96.9926,257.0225,1.8477817
France,FRA,1981,97.2227,247.4828,1.8162409
France,FRA,1982,97.7272,238.6486,10.523089
France,FRA,1983,97.7664,230.6265,13.380206
France,FRA,1984,98.2991,223.0164,12.147978
France,FRA,1985,98.7455,215.2601,13.484437
France,FRA,1986,99.0575,208.3245,12.386112
France,FRA,1987,99.7881,200.4488,12.321275
France,FRA,1988,97.8149,192.8873,13.281892
France,FRA,1989,97.4558,185.1474,13.225853
France,FRA,1990,97.803,176.5371,13.170343
France,FRA,1991,98.1147,168.6361,13.113994
France,FRA,1992,98.3289,183.045,13.068247
France,FRA,1993,99.2727,167.7965,13.01673
France,FRA,1994,99.5324,157.8805,12.976173
France,FRA,1995,99.8401,151.0959,12.941322
France,FRA,1996,100.0278,149.8368,12.8912735
France,FRA,1997,100.3543,143.6381,12.847254
France,FRA,1998,100.479,138.446,12.791214
France,FRA,1999,100.5868,134.7389,12.727298
France,FRA,2000,100.4833,135.1291,13.59572
France,FRA,2001,100.4068,135.97,12.826156
France,FRA,2002,100.4699,139.2305,12.753407
France,FRA,2003,100.3392,146.5951,13.011923
France,FRA,2004,100.3276,133.9482,13.183324
France,FRA,2005,100.3257,127.7396,13.2617855
France,FRA,2006,100.0612,132.2622,12.4260235
France,FRA,2007,99.6752,124.517,12.344946
France,FRA,2008,99.4692,99.6486,12.263107
France,FRA,2009,99.3088,105.6939,11.991534
France,FRA,2010,99.426,105.0681,11.442313
France,FRA,2011,99.312,105.3226,11.374317
France,FRA,2012,99.3507,105.8191,11.323297
France,FRA,2013,99.4276,110.9813,11.277666
France,FRA,2014,99.4836,104.8311,12.274221
France,FRA,2015,100,100,18.000729
France,FRA,2016,99.4406,106.0514,18.94782
France,FRA,2017,99.9284,97.3613,16.051018
France,FRA,2018,98.4881,93.8415,14.786132
France,FRA,2019,98.227,94.8876,13.91597
Germany,DEU,1961,105.9839,734.1826,1.5963867
Germany,DEU,1962,105.7945,704.1689,1.5273255
Germany,DEU,1963,105.6429,674.0108,1.3885015
Germany,DEU,1964,105.7098,643.4199,1.2389327
Germany,DEU,1965,105.6893,612.3961,3.0142832
Germany,DEU,1966,105.6618,580.795,3.662325
Germany,DEU,1967,104.7745,548.7611,2.190708
Germany,DEU,1968,104.5527,516.2943,2.4857218
Germany,DEU,1969,104.3506,483.2503,2.9439638
Germany,DEU,1970,103.5592,449.9177,3.1899273
Germany,DEU,1971,103.6081,444.4345,3.090075
Germany,DEU,1972,103.9114,438.374,3.3541694
